Change Component Footprint: Designator=R61 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R62 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R63 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R66 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R67 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R68 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=U6 Old Footprint=SN74HC125PWR New Footprint=TSSOP-14_L5.0-W4.4-P0.65-LS6.5-BL
Change Component Footprint: Designator=Q2 Old Footprint=TRIODE New Footprint=SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR
Change Component Footprint: Designator=CN4 Old Footprint=XT30 New Footprint=CONN-TH_XT30UPB-M
Change Pin Designator/Name:  Old Designator=U5-43 Old Name=PE12 New Designator =PA8 New Name=67
Change Pin Designator/Name:  Old Designator=U5-44 Old Name=PE13 New Designator =PA9 New Name=68
Change Pin Designator/Name:  Old Designator=U5-45 Old Name=PE14 New Designator =PA10 New Name=69
Change Pin Designator/Name:  Old Designator=U5-67 Old Name=PA8 New Designator =PE12 New Name=43
Change Pin Designator/Name:  Old Designator=U5-68 Old Name=PA9 New Designator =PE13 New Name=44
Change Pin Designator/Name:  Old Designator=U5-69 Old Name=PA10 New Designator =PE14 New Name=45
